Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Listare toate cursurile din baza de date,2025-05-19 16:54:53
Cautare student dupa ID in baza de date,2025-05-19 16:55:01
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:55:01
Verificare conflict orar student,2025-05-19 16:55:01
Cautare student dupa ID in baza de date,2025-05-19 16:55:01
Salvare inscriere in baza de date,2025-05-19 16:55:01
Inscriere student la materie,2025-05-19 16:55:01
Cautare student dupa ID in baza de date,2025-05-19 16:55:31
Cautare materie dupa cod in baza de date,2025-05-19 16:55:31
Cautare profesor dupa ID in baza de date,2025-05-19 16:55:31
Cautare sala dupa ID in baza de date,2025-05-19 16:55:31
Cautare student dupa ID in baza de date,2025-05-19 16:55:31
Cautare student dupa ID in baza de date,2025-05-19 16:55:31
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:55:31
Obtinere cursuri student,2025-05-19 16:55:31
Cautare student dupa ID in baza de date,2025-05-19 16:55:54
Cautare materie dupa cod in baza de date,2025-05-19 16:55:54
Cautare profesor dupa ID in baza de date,2025-05-19 16:55:54
Cautare sala dupa ID in baza de date,2025-05-19 16:55:54
Cautare student dupa ID in baza de date,2025-05-19 16:55:54
Cautare student dupa ID in baza de date,2025-05-19 16:55:54
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:55:54
Verificare conflict orar student,2025-05-19 16:55:54
Cautare student dupa ID in baza de date,2025-05-19 16:56:05
Cautare materie dupa cod in baza de date,2025-05-19 16:56:05
Cautare profesor dupa ID in baza de date,2025-05-19 16:56:05
Cautare sala dupa ID in baza de date,2025-05-19 16:56:05
Cautare student dupa ID in baza de date,2025-05-19 16:56:05
Cautare student dupa ID in baza de date,2025-05-19 16:56:05
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:05
Verificare conflict orar student,2025-05-19 16:56:05
Cautare student dupa ID in baza de date,2025-05-19 16:56:18
Cautare materie dupa cod in baza de date,2025-05-19 16:56:18
Cautare profesor dupa ID in baza de date,2025-05-19 16:56:18
Cautare sala dupa ID in baza de date,2025-05-19 16:56:18
Cautare student dupa ID in baza de date,2025-05-19 16:56:18
Cautare student dupa ID in baza de date,2025-05-19 16:56:18
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:18
Verificare conflict orar student,2025-05-19 16:56:18
Cautare student dupa ID in baza de date,2025-05-19 16:56:18
Salvare inscriere in baza de date,2025-05-19 16:56:18
Inscriere student la materie,2025-05-19 16:56:18
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Cautare materie dupa cod in baza de date,2025-05-19 16:56:27
Cautare profesor dupa ID in baza de date,2025-05-19 16:56:27
Cautare sala dupa ID in baza de date,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Cautare materie dupa cod in baza de date,2025-05-19 16:56:27
Cautare profesor dupa ID in baza de date,2025-05-19 16:56:27
Cautare sala dupa ID in baza de date,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:27
Verificare conflict orar student,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:27
Salvare inscriere in baza de date,2025-05-19 16:56:27
Inscriere student la materie,2025-05-19 16:56:27
Cautare student dupa ID in baza de date,2025-05-19 16:56:33
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:33
Verificare conflict orar student,2025-05-19 16:56:33
Cautare student dupa ID in baza de date,2025-05-19 16:56:33
Salvare inscriere in baza de date,2025-05-19 16:56:33
Inscriere student la materie,2025-05-19 16:56:33
Cautare student dupa ID in baza de date,2025-05-19 16:56:41
Cautare materie dupa cod in baza de date,2025-05-19 16:56:41
Cautare profesor dupa ID in baza de date,2025-05-19 16:56:41
Cautare sala dupa ID in baza de date,2025-05-19 16:56:41
Cautare student dupa ID in baza de date,2025-05-19 16:56:41
Cautare student dupa ID in baza de date,2025-05-19 16:56:41
Cautare student dupa ID in baza de date,2025-05-19 16:56:41
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:41
Verificare conflict orar student,2025-05-19 16:56:41
Cautare student dupa ID in baza de date,2025-05-19 16:56:41
Salvare inscriere in baza de date,2025-05-19 16:56:41
Inscriere student la materie,2025-05-19 16:56:41
Cautare student dupa ID in baza de date,2025-05-19 16:56:53
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:56:53
Verificare conflict orar student,2025-05-19 16:56:53
Cautare student dupa ID in baza de date,2025-05-19 16:56:53
Salvare inscriere in baza de date,2025-05-19 16:56:53
Inscriere student la materie,2025-05-19 16:56:53
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Cautare materie dupa cod in baza de date,2025-05-19 16:57:01
Cautare profesor dupa ID in baza de date,2025-05-19 16:57:01
Cautare sala dupa ID in baza de date,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:57:01
Verificare conflict orar student,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:01
Salvare inscriere in baza de date,2025-05-19 16:57:01
Inscriere student la materie,2025-05-19 16:57:01
Cautare student dupa ID in baza de date,2025-05-19 16:57:08
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:57:08
Verificare conflict orar student,2025-05-19 16:57:08
Cautare student dupa ID in baza de date,2025-05-19 16:57:08
Salvare inscriere in baza de date,2025-05-19 16:57:08
Inscriere student la materie,2025-05-19 16:57:08
